Product ID,SKU,Product Name,Price,Discount,No. of Sales,No. of Reviews,Seller Location,Product Link
391780667,391780667_BD-1954935650,"Multi Color T Shirt For Men - Comfortable",90.0,55.0,494,0,Dhaka,//www.daraz.com.bd/products/-i391780667.html
390104095,390104095_BD-1947321519,"Bodro hobo Indispensable -Quality And Durablity -Bula jao Casual T-Shirt For Men - T Shirt For Man- Innovative Qualityful - Easy To care and Longive T Shirt",90.0,70.0,737,0,Dhaka,//www.daraz.com.bd/products/bodro-hobo-bula-jao-i390104095.html
389255983,389255983_BD-1940255191,"Mens New Stylish Tshirt & Short Pent Combo",398.0,34.0,605,0,Dhaka,//www.daraz.com.bd/products/-i389255983.html
391044280,391044280_BD-1952491769,"Kal Thike vordo hobo New Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt",99.0,50.0,272,0,Dhaka,//www.daraz.com.bd/products/kal-thike-i391044280.html
334125624,334125624_BD-1625716529,"Always Smile Jersey T-Shirt For Man| Half Sleeve T Shirt For Men",97.0,61.0,2000,0,Dhaka,//www.daraz.com.bd/products/-i334125624.html
391789959,391789959_BD-1954999144,"Love T-shirt For Men and women Round neck Stylish",90.0,70.0,112,0,Dhaka,//www.daraz.com.bd/products/-i391789959.html
392382108,392382108_BD-1956906167,"2024 New Excellent T-shirts Of Good Quality Men's half-sleeved T-shirts",90.0,64.0,174,0,Dhaka,//www.daraz.com.bd/products/2024-i392382108.html
391039668,391039668_BD-1952491718,"2 pis combo casual Printed T Shirt For Men",199.0,43.0,244,0,Dhaka,//www.daraz.com.bd/products/2-i391039668.html
394316531,394316531_BD-1962483168,"Summer Exclusive Black Printed Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Men",380.0,42.0,96,0,Dhaka,//www.daraz.com.bd/products/-i394316531.html
392383607,392383607_BD-1956976117,"Export Quality T-Shirt Fabric Soft And Comfortable - T Shirt",90.0,63.0,151,0,Dhaka,//www.daraz.com.bd/products/-i392383607.html
